iter	Passed	Remaining
455	409	1386
456	410	1385
457	410	1383
458	411	1382
459	412	1380
460	413	1378
461	413	1376
462	414	1376
463	415	1375
464	416	1373
465	416	1372
466	417	1370
467	418	1368
468	418	1367
469	419	1366
470	420	1365
471	421	1365
472	422	1363
473	423	1362
474	424	1362
475	424	1360
476	425	1358
477	426	1356
478	426	1355
479	427	1354
480	428	1353
481	429	1352
482	430	1350
483	430	1349
484	431	1347
485	432	1345
486	432	1344
487	433	1343
488	434	1341
489	435	1340
490	435	1339
491	436	1338
492	437	1337
493	438	1336
494	438	1334
495	439	1333
496	440	1332
497	441	1330
498	442	1330
499	443	1329
500	443	1328
501	444	1327
502	445	1326
503	446	1325
504	447	1325
505	448	1323
506	449	1322
507	449	1321
508	450	1320
509	451	1319
510	452	1317
511	452	1316
512	454	1316
513	454	1314
514	455	1314
515	456	1312
516	457	1311
517	458	1310
518	458	1308
519	459	1308
520	460	1308
521	461	1307
522	462	1306
523	463	1305
524	464	1304
525	464	1302
526	465	1302
527	466	1300
528	467	1300
529	468	1299
530	469	1298
531	470	1297
532	471	1296
533	471	1295
534	472	1294
535	473	1293
536	474	1292
537	475	1291
538	476	1291
539	477	1290
540	477	1288
541	479	1288
542	480	1288
543	481	1288
544	482	1287
545	482	1286
546	484	1285
547	485	1285
548	486	1285
549	487	1284
550	488	1283
551	489	1283
552	490	1282
553	491	1281
554	492	1280
555	492	1279
556	493	1278
557	494	1277
558	495	1277
559	496	1277
560	497	1277
561	498	1276
562	499	1276
563	500	1275
564	501	1274
565	502	1273
566	503	1273
567	504	1272
568	505	1272
569	506	1271
570	507	1270
571	508	1269
572	509	1269
573	510	1268
574	511	1267
575	512	1266
576	512	1265
577	513	1264
578	514	1263
579	515	1261
580	516	1261
581	517	1260
582	518	1259
583	519	1259
584	520	1258
585	521	1257
586	522	1256
587	523	1256
588	523	1254
589	524	1253
590	525	1253
591	526	1252
592	527	1252
593	528	1251
594	529	1250
595	530	1249
596	531	1248
597	532	1247
598	532	1246
599	533	1245
600	534	1244
601	535	1244
602	536	1243
603	537	1242
604	538	1241
605	539	1240
606	540	1240
607	541	1238
608	541	1237
609	542	1237
610	543	1236
611	544	1236
612	546	1236
613	547	1235
614	548	1234
615	549	1234
616	550	1233
617	550	1231
618	551	1231
619	552	1230
620	553	1228
621	554	1227
622	554	1226
623	555	1225
624	556	1223
625	556	1222
626	557	1221
627	558	1220
628	559	1219
629	560	1217
630	560	1216
631	561	1216
632	562	1215
633	563	1214
634	564	1212
635	564	1211
636	565	1210
637	566	1209
638	567	1209
639	568	1207
640	569	1206
641	570	1206
642	570	1204
643	571	1204
644	572	1203
645	573	1202
646	574	1201
647	575	1200
648	576	1199
649	577	1198
650	577	1197
651	578	1196
652	579	1195
653	580	1194
654	581	1193
655	582	1192
656	583	1192
657	584	1192
658	585	1191
659	586	1190
660	587	1189
661	587	1188
662	588	1186
663	589	1185
664	589	1184
665	590	1183
666	591	1181
667	592	1180
668	593	1179
669	593	1178
670	594	1177
671	595	1176
672	596	1175
673	597	1174
674	597	1173
675	598	1172
676	599	1171
677	599	1169
678	600	1168
679	601	1167
680	602	1166
681	602	1165
682	603	1163
683	604	1162
684	605	1161
685	605	1160
686	606	1159
687	607	1158
688	608	1157
689	609	1156
690	609	1155
691	610	1154
692	611	1153
693	612	1151
694	612	1150
695	613	1149
696	614	1148
697	615	1148
698	616	1147
699	617	1146
700	618	1145
701	619	1144
702	620	1144
703	621	1143
704	622	1142
705	622	1141
706	623	1140
707	624	1139
708	625	1138
709	626	1137
710	627	1136
711	627	1135
712	628	1134
713	629	1133
714	630	1132
715	630	1131
716	631	1130
717	632	1129
718	633	1127
719	633	1126
720	634	1125
721	635	1124
722	636	1123
723	637	1122
724	637	1121
725	638	1120
726	639	1119
727	640	1118
728	640	1117
729	641	1116
730	642	1115
731	643	1114
732	644	1113
733	645	1112
734	646	1111
735	646	1110
736	647	1110
737	648	1108
738	649	1108
739	650	1107
740	650	1105
741	651	1105
742	652	1104
743	653	1103
744	654	1101
745	654	1100
746	655	1100
747	656	1098
748	657	1098
749	658	1097
750	659	1097
751	660	1096
752	661	1095
753	662	1094
754	663	1093
755	663	1092
756	664	1091
757	665	1090
758	666	1089
759	667	1088
760	667	1087
761	668	1086
762	669	1085
763	670	1084
764	671	1083
765	672	1082
766	672	1081
767	673	1080
768	674	1079
769	674	1078
770	675	1077
771	676	1076
772	677	1075
773	678	1074
774	679	1073
775	679	1072
776	680	1071
777	681	1070
778	682	1069
779	683	1068
780	683	1067
781	684	1066
782	685	1065
783	686	1064
784	687	1063
785	687	1062
786	688	1061
787	689	1060
788	690	1059
789	691	1058
790	692	1057
791	692	1056
792	693	1055
793	694	1054
794	694	1053
795	695	1052
796	696	1051
797	697	1050
798	697	1049
799	698	1047
800	699	1046
801	699	1045
802	700	1044
803	701	1043
804	702	1042
805	703	1041
806	703	1040
807	704	1039
808	705	1038
809	705	1037
810	706	1036
811	707	1035
812	708	1034
813	708	1033
814	709	1032
815	710	1031
816	711	1030
817	712	1029
818	712	1028
819	713	1026
820	714	1025
821	714	1024
822	715	1023
823	716	1022
824	716	1021
825	717	1019
826	718	1018
827	718	1017
828	719	1016
829	720	1015
830	721	1014
831	721	1013
832	722	1012
833	723	1011
834	724	1010
835	725	1009
836	725	1008
837	726	1007
838	727	1006
839	728	1005
840	729	1004
841	730	1004
842	731	1003
843	731	1002
844	732	1001
845	733	1000
846	734	999
847	735	998
848	736	998
849	737	997
850	738	997
851	739	996
852	739	995
853	740	994
854	741	992
855	742	991
856	742	990
857	743	989
858	744	988
859	744	987
860	745	986
861	746	985
862	746	983
863	747	983
864	748	982
865	749	981
866	750	980
867	750	978
868	751	977
869	751	976
870	752	975
871	753	974
872	754	973
873	755	972
874	755	971
875	756	970
876	757	969
877	758	968
878	758	967
879	759	966
880	760	965
881	761	964
882	762	964
883	762	962
884	763	961
885	764	960
886	764	959
887	765	958
888	766	958
889	767	957
890	768	956
891	768	955
892	769	953
893	770	953
894	771	952
895	772	951
896	773	950
897	774	950
898	775	949
899	776	948
900	777	947
901	778	947
902	779	947
903	780	946
904	782	946
905	783	945
906	784	944
907	785	944
908	786	943
909	786	942
910	787	941
911	788	940
912	789	939
913	790	938
914	790	937
915	791	937
916	792	936
917	793	935
918	794	934
919	795	933
920	796	933
921	797	932
922	798	932
923	800	931
924	800	930
925	801	929
926	802	929
927	803	928
928	804	927
929	805	926
930	805	925
931	806	924
932	807	923
933	808	922
934	809	921
935	810	921
936	811	920
937	812	919
938	813	919
939	814	918
940	815	917
941	816	916
942	816	915
943	817	914
944	818	913
945	819	913
946	820	912
947	821	911
948	822	910
949	823	910
950	824	909
951	825	908
952	826	907
953	827	906
954	827	905
955	828	904
956	829	903
957	829	902
958	830	901
959	831	901
960	832	900
961	833	899
962	834	898
963	835	897
964	836	896
965	837	896
966	838	895
967	839	894
968	840	893
969	841	893
970	841	892
971	842	891
972	843	890
973	844	889
974	845	889
975	846	888
976	847	887
977	848	886
978	849	885
979	850	884
980	851	884
981	852	883
982	853	882
983	853	881
984	854	880
985	855	879
986	856	879
987	857	878
988	858	877
989	859	876
990	860	875
991	860	874
992	861	873
993	862	873
994	863	872
995	865	872
996	866	871
997	867	870
998	867	869
999	868	868
1000	869	867
1001	869	866
1002	870	865
1003	871	864
1004	872	863
1005	873	863
1006	874	862
1007	874	861
1008	875	859
1009	876	858
1010	876	857
1011	877	856
1012	878	855
1013	878	854
1014	879	853
1015	880	852
1016	881	851
1017	881	850
1018	882	849
1019	883	848
1020	884	847
1021	884	846
1022	885	845
1023	886	844
1024	887	843
1025	887	842
1026	888	841
1027	888	840
1028	889	839
1029	890	838
1030	891	837
1031	891	836
1032	892	835
1033	892	834
1034	893	833
1035	894	832
1036	895	831
1037	896	830
1038	897	829
1039	897	828
1040	898	827
1041	899	826
1042	900	825
1043	900	824
1044	901	824
1045	902	823
1046	903	822
1047	904	821
1048	905	820
1049	906	820
1050	907	819
1051	908	818
1052	908	817
1053	909	816
1054	910	815
1055	911	814
1056	911	813
1057	912	812
1058	913	811
1059	914	810
1060	915	810
1061	915	808
1062	916	807
1063	917	806
1064	917	805
1065	918	804
1066	919	803
1067	920	803
1068	920	802
1069	921	801
1070	922	800
1071	923	799
1072	924	798
1073	924	797
1074	925	796
1075	926	795
1076	927	795
1077	928	794
1078	929	793
1079	930	792
1080	931	791
1081	931	790
1082	932	789
1083	933	788
1084	934	787
1085	934	786
1086	935	785
1087	935	784
1088	936	783
1089	937	782
1090	938	781
1091	938	780
1092	939	779
1093	940	779
1094	941	778
1095	942	777
1096	942	776
1097	943	775
1098	944	774
1099	945	773
1100	945	772
1101	946	771
1102	947	770
1103	948	769
1104	948	768
1105	949	767
1106	950	766
1107	951	765
1108	952	764
1109	952	764
1110	953	763
1111	954	762
1112	955	761
1113	956	760
1114	957	759
1115	957	758
1116	958	757
1117	959	756
1118	960	756
1119	961	755
1120	961	754
1121	962	753
1122	963	752
1123	964	751
1124	965	750
1125	965	749
1126	966	748
1127	967	747
1128	967	746
1129	968	745
1130	969	744
1131	970	743
1132	971	743
1133	972	742
1134	973	741
1135	974	740
1136	974	739
1137	975	739
1138	976	738
1139	977	737
1140	978	736
1141	979	735
1142	980	734
1143	980	734
1144	981	733
1145	982	732
1146	983	731
1147	984	730
1148	985	730
1149	986	729
1150	987	728
1151	988	727
1152	988	726
1153	989	725
1154	990	724
1155	991	723
1156	992	722
1157	992	721
1158	993	721
1159	994	720
1160	995	719
1161	996	718
1162	996	717
1163	997	716
1164	998	715
1165	999	714
1166	1000	713
1167	1000	712
1168	1001	712
1169	1002	710
1170	1003	710
1171	1003	709
1172	1004	708
1173	1005	707
1174	1006	706
1175	1006	705
1176	1007	704
1177	1008	703
1178	1009	702
1179	1010	702
1180	1011	701
1181	1012	700
1182	1013	699
1183	1014	698
1184	1015	698
1185	1015	697
1186	1016	696
1187	1017	695
1188	1018	694
1189	1019	694
1190	1020	693
1191	1021	692
1192	1022	691
1193	1023	690
1194	1024	690
1195	1025	689
1196	1026	688
1197	1027	687
1198	1028	686
1199	1028	685
1200	1029	685
1201	1030	684
1202	1031	683
1203	1032	682
1204	1033	681
1205	1033	680
1206	1034	679
1207	1035	678
1208	1036	678
1209	1037	677
1210	1038	676
1211	1039	675
1212	1039	674
1213	1040	673
1214	1041	672
1215	1042	671
1216	1043	671
1217	1044	670
1218	1044	669
1219	1045	668
1220	1046	667
1221	1047	666
1222	1048	666
1223	1049	665
1224	1049	664
1225	1050	663
1226	1051	662
1227	1052	661
1228	1053	660
1229	1054	660
1230	1055	659
1231	1056	658
1232	1057	657
1233	1058	656
1234	1058	655
1235	1059	654
1236	1060	654
1237	1061	653
1238	1062	652
1239	1063	651
1240	1064	650
1241	1065	650
1242	1065	649
1243	1066	648
1244	1067	647
1245	1068	646
1246	1069	645
1247	1070	645
1248	1071	644
1249	1072	643
1250	1073	642
1251	1074	641
1252	1075	640
1253	1075	640
1254	1076	639
1255	1077	638
1256	1078	637
1257	1079	636
1258	1080	635
1259	1080	634
1260	1081	633
1261	1082	632
1262	1083	632
1263	1084	631
1264	1085	630
1265	1086	629
1266	1087	629
1267	1088	628
1268	1089	627
1269	1090	626
1270	1091	625
1271	1091	624
1272	1092	624
1273	1093	623
1274	1094	622
1275	1095	621
1276	1096	620
1277	1097	619
1278	1098	618
1279	1098	618
1280	1099	617
1281	1100	616
1282	1101	615
1283	1102	614
1284	1103	613
1285	1104	613
1286	1105	612
1287	1105	611
1288	1106	610
1289	1107	609
1290	1108	609
1291	1109	608
1292	1110	607
1293	1111	606
1294	1112	605
1295	1113	604
1296	1114	603
1297	1114	602
1298	1115	602
1299	1116	601
1300	1117	600
1301	1118	599
1302	1119	598
1303	1120	598
1304	1121	597
1305	1122	596
1306	1123	595
1307	1124	594
1308	1125	593
1309	1125	592
1310	1126	592
1311	1127	591
1312	1128	590
1313	1129	589
1314	1130	588
1315	1131	587
1316	1132	587
1317	1132	586
1318	1133	585
1319	1134	584
1320	1135	583
1321	1136	582
1322	1137	582
1323	1138	581
1324	1138	580
1325	1139	579
1326	1140	578
1327	1140	577
1328	1141	576
1329	1142	575
1330	1143	574
1331	1144	573
1332	1145	573
1333	1146	572
1334	1146	571
1335	1147	570
1336	1148	569
1337	1148	568
1338	1149	567
1339	1150	566
1340	1151	565
1341	1152	564
1342	1152	563
1343	1153	563
1344	1154	562
1345	1155	561
1346	1155	560
1347	1156	559
1348	1157	558
1349	1158	557
1350	1158	556
1351	1159	555
1352	1160	554
1353	1161	553
1354	1161	553
1355	1162	552
1356	1163	551
1357	1164	550
1358	1165	549
1359	1165	548
1360	1166	547
1361	1167	546
1362	1168	545
1363	1168	545
1364	1169	544
1365	1170	543
1366	1171	542
1367	1172	541
1368	1172	540
1369	1173	539
1370	1174	538
1371	1175	537
1372	1176	537
1373	1176	536
1374	1177	535
1375	1178	534
1376	1179	533
1377	1180	532
1378	1181	531
1379	1182	531
1380	1182	530
1381	1183	529
1382	1184	528
1383	1185	527
1384	1185	526
1385	1186	525
1386	1187	524
1387	1188	524
1388	1189	523
1389	1189	522
1390	1190	521
1391	1191	520
1392	1192	519
1393	1193	518
1394	1194	517
1395	1195	517
1396	1195	516
1397	1196	515
1398	1197	514
1399	1198	513
1400	1199	512
1401	1199	511
1402	1200	510
1403	1201	510
1404	1202	509
1405	1203	508
1406	1203	507
1407	1204	506
1408	1205	505
1409	1206	504
1410	1207	503
1411	1208	503
1412	1209	502
1413	1209	501
1414	1210	500
1415	1211	499
1416	1211	498
1417	1212	497
1418	1213	496
1419	1214	495
1420	1214	494
1421	1215	494
1422	1216	493
1423	1217	492
1424	1218	491
1425	1219	490
1426	1220	489
1427	1221	489
1428	1221	488
1429	1222	487
1430	1223	486
1431	1224	485
1432	1225	484
1433	1226	484
1434	1227	483
1435	1228	482
1436	1228	481
1437	1229	480
1438	1230	479
1439	1231	478
1440	1231	477
1441	1232	476
1442	1233	475
1443	1233	475
1444	1234	474
1445	1235	473
1446	1236	472
1447	1236	471
1448	1237	470
1449	1237	469
1450	1238	468
1451	1239	467
1452	1240	466
1453	1241	466
1454	1242	465
1455	1242	464
1456	1243	463
1457	1244	462
1458	1245	461
1459	1246	460
1460	1246	460
1461	1247	459
1462	1248	458
1463	1249	457
1464	1250	456
1465	1251	455
1466	1252	455
1467	1253	454
1468	1254	453
1469	1254	452
1470	1255	451
1471	1256	450
1472	1257	449
1473	1258	448
1474	1258	448
1475	1259	447
1476	1260	446
1477	1261	445
1478	1262	444
1479	1263	443
1480	1263	442
1481	1264	441
1482	1265	441
1483	1266	440
1484	1266	439
1485	1267	438
1486	1268	437
1487	1269	436
1488	1270	435
1489	1271	435
1490	1272	434
1491	1272	433
1492	1273	432
1493	1274	431
1494	1275	430
1495	1276	429
1496	1277	429
1497	1277	428
1498	1278	427
1499	1279	426
1500	1280	425
1501	1281	424
1502	1282	424
1503	1283	423
1504	1284	422
1505	1285	421
1506	1286	420
1507	1286	419
1508	1287	418
1509	1288	418
1510	1289	417
1511	1290	416
1512	1291	415
1513	1292	414
1514	1293	414
1515	1294	413
1516	1295	412
1517	1296	411
1518	1297	410
1519	1298	410
1520	1299	409
1521	1300	408
1522	1301	407
1523	1301	406
1524	1302	405
1525	1303	404
1526	1304	404
1527	1305	403
1528	1306	402
1529	1307	401
1530	1308	400
1531	1309	400
1532	1310	399
1533	1311	398
1534	1312	397
1535	1313	396
1536	1315	396
1537	1316	395
1538	1317	394
1539	1318	393
1540	1319	392
1541	1319	391
1542	1320	391
1543	1321	390
1544	1322	389
1545	1322	388
1546	1323	387
1547	1324	386
1548	1325	385
1549	1325	384
1550	1327	384
1551	1328	383
1552	1329	382
1553	1330	381
1554	1331	380
1555	1332	380
1556	1333	379
1557	1334	378
1558	1335	377
1559	1336	376
1560	1337	376
1561	1338	375
1562	1339	374
1563	1340	373
1564	1342	373
1565	1343	372
1566	1344	371
1567	1345	370
1568	1346	369
1569	1347	369
1570	1348	368
1571	1349	367
1572	1350	366
1573	1351	365
1574	1352	365
1575	1353	364
1576	1354	363
1577	1355	362
1578	1356	361
1579	1357	360
1580	1358	359
1581	1359	359
1582	1360	358
1583	1361	357
1584	1361	356
1585	1362	355
1586	1363	354
1587	1363	353
1588	1364	352
1589	1365	352
1590	1366	351
1591	1366	350
1592	1367	349
1593	1368	348
1594	1369	347
1595	1370	346
1596	1371	346
1597	1371	345
1598	1372	344
1599	1374	343
1600	1374	342
1601	1375	341
1602	1376	340
1603	1377	340
1604	1378	339
1605	1379	338
1606	1379	337
1607	1380	336
1608	1381	335
1609	1382	334
1610	1383	333
1611	1383	333
1612	1384	332
1613	1385	331
1614	1385	330
1615	1386	329
1616	1387	328
1617	1388	327
1618	1389	326
1619	1390	326
1620	1390	325
1621	1391	324
1622	1392	323
1623	1393	322
1624	1394	321
1625	1395	320
1626	1396	320
1627	1396	319
1628	1397	318
1629	1398	317
1630	1399	316
1631	1400	315
1632	1401	314
1633	1401	314
1634	1402	313
1635	1403	312
1636	1404	311
1637	1404	310
1638	1405	309
1639	1406	308
1640	1407	307
1641	1407	306
1642	1408	306
1643	1409	305
1644	1410	304
1645	1411	303
1646	1411	302
1647	1412	301
1648	1414	300
1649	1414	300
1650	1415	299
1651	1416	298
1652	1417	297
1653	1418	296
1654	1418	295
1655	1419	294
1656	1420	294
1657	1421	293
1658	1422	292
1659	1423	291
1660	1423	290
1661	1424	289
1662	1425	288
1663	1426	287
1664	1427	287
1665	1427	286
1666	1428	285
1667	1429	284
1668	1430	283
1669	1431	282
1670	1431	281
1671	1432	281
1672	1433	280
1673	1434	279
1674	1435	278
1675	1435	277
1676	1436	276
1677	1436	275
1678	1437	274
1679	1438	273
1680	1439	273
1681	1440	272
1682	1440	271
1683	1441	270
1684	1442	269
1685	1442	268
1686	1443	267
1687	1444	266
1688	1445	266
1689	1445	265
1690	1446	264
1691	1447	263
1692	1448	262
1693	1449	261
1694	1450	261
1695	1451	260
1696	1452	259
1697	1452	258
1698	1453	257
1699	1454	256
1700	1455	255
1701	1456	254
1702	1457	254
1703	1458	253
1704	1459	252
1705	1459	251
1706	1460	250
1707	1461	249
1708	1462	248
1709	1462	248
1710	1463	247
1711	1464	246
1712	1465	245
1713	1465	244
1714	1466	243
1715	1467	242
1716	1468	241
1717	1469	241
1718	1469	240
1719	1470	239
1720	1471	238
1721	1471	237
1722	1472	236
1723	1472	235
1724	1473	234
1725	1474	234
1726	1474	233
1727	1475	232
1728	1476	231
1729	1477	230
1730	1478	229
1731	1478	228
1732	1479	227
1733	1480	227
1734	1481	226
1735	1482	225
1736	1482	224
1737	1483	223
1738	1484	222
1739	1485	221
1740	1486	221
1741	1487	220
1742	1488	219
1743	1489	218
1744	1490	217
1745	1491	216
1746	1492	216
1747	1492	215
1748	1493	214
1749	1494	213
1750	1495	212
1751	1496	211
1752	1497	211
1753	1498	210
1754	1500	209
1755	1501	208
1756	1502	207
1757	1503	206
1758	1504	206
1759	1504	205
1760	1505	204
1761	1506	203
1762	1507	202
1763	1507	201
1764	1508	200
1765	1509	199
1766	1509	199
1767	1510	198
1768	1511	197
1769	1512	196
1770	1512	195
1771	1513	194
1772	1514	193
1773	1515	193
1774	1515	192
1775	1516	191
1776	1517	190
1777	1518	189
1778	1518	188
1779	1519	187
1780	1520	186
1781	1521	186
1782	1522	185
1783	1523	184
1784	1523	183
1785	1524	182
1786	1525	181
1787	1526	180
1788	1527	180
1789	1528	179
1790	1529	178
1791	1530	177
1792	1531	176
1793	1532	175
1794	1533	175
1795	1534	174
1796	1534	173
1797	1535	172
1798	1536	171
1799	1537	170
1800	1538	169
1801	1538	169
1802	1539	168
1803	1540	167
1804	1541	166
1805	1542	165
1806	1543	164
1807	1543	163
1808	1544	163
1809	1545	162
1810	1546	161
1811	1547	160
1812	1548	159
1813	1548	158
1814	1549	157
1815	1549	157
1816	1550	156
1817	1551	155
1818	1551	154
1819	1552	153
1820	1553	152
1821	1553	151
1822	1554	150
1823	1555	150
1824	1556	149
1825	1556	148
1826	1557	147
1827	1558	146
1828	1559	145
1829	1560	144
1830	1560	144
1831	1561	143
1832	1562	142
1833	1562	141
1834	1563	140
1835	1564	139
1836	1565	138
1837	1566	138
1838	1567	137
1839	1567	136
1840	1568	135
1841	1569	134
1842	1570	133
1843	1571	132
1844	1572	132
1845	1573	131
1846	1574	130
1847	1574	129
1848	1575	128
1849	1576	127
1850	1577	126
1851	1578	126
1852	1579	125
1853	1579	124
1854	1580	123
1855	1581	122
1856	1582	121
1857	1583	121
1858	1584	120
1859	1584	119
1860	1585	118
1861	1586	117
1862	1587	116
1863	1588	115
1864	1589	115
1865	1590	114
1866	1590	113
1867	1591	112
1868	1592	111
1869	1593	110
1870	1594	109
1871	1594	109
1872	1595	108
1873	1596	107
1874	1597	106
1875	1597	105
1876	1598	104
1877	1599	103
1878	1600	103
1879	1600	102
1880	1601	101
1881	1602	100
1882	1603	99
1883	1604	98
1884	1604	97
1885	1605	97
1886	1606	96
1887	1606	95
1888	1607	94
1889	1608	93
1890	1609	92
1891	1610	91
1892	1611	91
1893	1611	90
1894	1612	89
1895	1613	88
1896	1614	87
1897	1614	86
1898	1615	85
1899	1616	85
1900	1617	84
1901	1617	83
1902	1618	82
1903	1619	81
1904	1620	80
1905	1621	79
1906	1621	79
1907	1622	78
1908	1623	77
1909	1624	76
