iter	RMSE
0	97.45065805
1	96.75699992
2	96.34714682
3	95.85533415
4	95.32930387
5	94.90799642
6	94.49796798
7	94.1199925
8	93.5468106
9	93.12168101
10	92.47035393
11	92.03731997
12	91.47203881
13	91.01633798
14	90.70003063
15	90.22986042
16	89.84103653
17	89.51867065
18	89.24608613
19	88.83698253
20	88.50978826
21	88.19582414
22	87.84441106
23	87.60382653
24	87.32860926
25	86.97603181
26	86.70898683
27	86.40179151
28	86.03071928
29	85.78299707
30	85.53224898
31	85.26182705
32	84.74389858
33	84.42613817
34	84.08693476
35	83.88796187
36	83.61784948
37	83.35342912
38	82.94366435
39	82.63366908
40	82.47501389
41	82.26850844
42	82.07818611
43	81.62188225
44	81.39525077
45	81.22158084
46	80.99740904
47	80.68366303
48	80.37898696
49	80.2080405
50	79.92650537
51	79.69286162
52	79.55324741
53	79.43973748
54	79.16331792
55	78.98423524
56	78.82175314
57	78.68956118
58	78.47507185
59	78.26480695
60	78.10275252
61	77.91555918
62	77.77547404
63	77.54329329
64	77.33923647
65	77.18348932
66	77.02583485
67	76.79606671
68	76.65176744
69	76.49681516
70	76.24251928
71	76.05692067
72	75.8400611
73	75.60133512
74	75.37985266
75	75.25062003
76	75.05676617
77	74.94560106
78	74.75646164
79	74.46291069
80	74.30663544
81	73.93653141
82	73.78650198
83	73.68388484
84	73.46285863
85	73.22148049
86	73.02479291
87	72.82223605
88	72.63748547
89	72.51746274
90	72.21243173
91	71.98715589
92	71.75073391
93	71.50114502
94	71.36678443
95	71.20646225
96	71.09511963
97	70.9630301
98	70.81260763
99	70.64343714
100	70.56486735
101	70.36307744
102	70.11265929
103	70.04239194
104	69.92520396
105	69.79745566
106	69.70835391
107	69.5947402
108	69.4328526
109	69.27857833
110	69.16842789
111	69.02937513
112	68.8279145
113	68.71585203
114	68.51383113
115	68.37454886
116	68.27026264
117	68.13881863
118	68.00965197
119	67.89878733
120	67.77153285
121	67.67096214
122	67.55822113
123	67.45371767
124	67.34158304
125	67.23201414
126	67.1593367
127	67.02030004
128	66.91356264
129	66.81456566
130	66.70327952
131	66.60287172
132	66.39701014
133	66.1826083
134	66.03798942
135	65.97020861
136	65.91719693
137	65.82600776
138	65.69884276
139	65.5882915
140	65.44021588
141	65.34003119
142	65.26744877
143	65.06481934
144	64.99199637
145	64.88864334
146	64.75706478
147	64.60417524
148	64.51957182
149	64.41646715
150	64.30742586
151	64.22391037
152	63.99555391
153	63.89751602
154	63.80684318
155	63.71246517
156	63.61732187
157	63.54906702
158	63.41967237
159	63.38008957
160	63.25836507
161	63.192359
162	63.03042877
163	62.8976331
164	62.80059268
165	62.6358937
166	62.34860128
167	62.29052956
168	62.14411961
169	62.08130804
170	61.98704757
171	61.89127459
172	61.75635597
173	61.67146031
174	61.58983036
175	61.50958763
176	61.43944267
177	61.25064762
178	61.07428333
179	60.89531876
180	60.79011525
181	60.741511
182	60.69730484
183	60.614556
184	60.51450984
185	60.4001895
186	60.31067351
187	60.23196302
188	60.10198007
189	60.01241144
190	59.84940465
191	59.75843117
192	59.63590971
193	59.55997334
194	59.45835535
195	59.26841834
196	59.18419537
197	59.02651102
198	58.91709644
199	58.81410113
200	58.74624827
201	58.66366704
202	58.6060071
203	58.55592727
204	58.37135111
205	58.29185276
206	58.16713183
207	58.12897398
208	58.03427655
209	57.99326754
210	57.92425439
211	57.75934068
212	57.69027541
213	57.59137766
214	57.50347814
215	57.44481546
216	57.35810531
217	57.28516648
218	57.23419929
219	57.15863401
220	57.0595048
221	57.00098704
222	56.91878765
223	56.85123867
224	56.70748219
225	56.61590244
226	56.57311597
227	56.44378179
228	56.33749632
229	56.23036259
230	56.13284256
231	56.01803388
232	55.94678677
233	55.80281311
234	55.69600135
235	55.53892166
236	55.46615144
237	55.3596613
238	55.26314138
239	55.14933574
240	55.09059994
241	54.99987821
242	54.92682605
