Цех,Артикул продукции,Продукция,Дата,Артикул материала,Материал
533,330012233534,1763,2023-01-09,12300285,5.333333333333333
533,330012233729,1528,2023-01-09,12300285,5.333333333333333
544,330012233673,495,2023-01-09,1230048,23.0
544,330012233673,495,2023-01-09,12300239,97.0
522,330012233984,1148,2023-01-09,12300150,19.5
544,330012233926,2025,2023-01-09,12300239,97.0
533,330012233662,2026,2023-01-09,12300285,5.333333333333333
522,330012233780,199,2023-01-09,12300150,19.5
533,330012233887,499,2023-01-09,12300285,5.333333333333333
544,330012233664,387,2023-01-09,1230048,23.0
544,330012233664,387,2023-01-09,12300239,97.0
533,330012233448,1637,2023-01-09,12300285,5.333333333333333
533,330012233829,824,2023-01-09,12300285,5.333333333333333
533,330012233747,286,2023-01-09,12300285,5.333333333333333
544,330012233926,2025,2023-01-09,1230048,23.0
522,330012233923,1093,2023-01-09,12300150,19.5
544,330012233758,994,2023-01-09,12300239,97.0
544,330012233591,1069,2023-01-09,12300239,97.0
522,330012233425,188,2023-01-09,12300150,19.5
533,330012233863,214,2023-01-09,12300285,5.333333333333333
544,330012233624,1457,2023-01-09,1230048,23.0
544,330012233948,321,2023-01-09,1230048,23.0
544,330012233948,321,2023-01-09,12300239,97.0
544,330012233758,994,2023-01-09,1230048,23.0
533,330012233921,2155,2023-01-09,12300285,5.333333333333333
544,330012233837,302,2023-01-09,1230048,23.0
544,330012233837,302,2023-01-09,12300239,97.0
544,330012233624,1457,2023-01-09,12300239,97.0
544,330012233809,983,2023-01-09,1230048,23.0
544,330012233809,983,2023-01-09,12300239,97.0
522,330012233583,1509,2023-01-09,12300150,19.5
544,330012233594,287,2023-01-09,1230048,23.0
544,330012233594,287,2023-01-09,12300239,97.0
544,330012233702,1547,2023-01-09,1230048,23.0
544,330012233702,1547,2023-01-09,12300239,97.0
544,330012233591,1069,2023-01-09,1230048,23.0
533,330012233743,889,2023-01-09,12300285,5.333333333333333
522,330012233681,391,2023-01-10,12300204,154.0
522,330012233458,365,2023-01-10,12300204,154.0
511,330012233766,1610,2023-01-10,12300272,75.0
533,330012233776,2324,2023-01-10,12300109,1.5
511,330012233948,162,2023-01-10,12300272,75.0
522,330012233924,729,2023-01-10,12300204,154.0
522,330012233968,448,2023-01-10,12300204,154.0
511,330012233735,1963,2023-01-10,12300272,75.0
533,330012233539,202,2023-01-10,12300109,1.5
533,330012233436,501,2023-01-10,12300109,1.5
522,330012233593,1901,2023-01-10,12300204,154.0
522,330012233674,1538,2023-01-10,12300204,154.0
533,330012233880,1001,2023-01-10,12300109,1.5
522,330012233841,230,2023-01-10,12300204,154.0
533,330012233461,742,2023-01-10,12300109,1.5
522,330012233618,1507,2023-01-10,12300204,154.0
533,330012233429,47,2023-01-10,12300109,1.5
522,330012233722,857,2023-01-10,12300204,154.0
533,330012233784,407,2023-01-10,12300109,1.5
511,330012233437,573,2023-01-10,12300272,75.0
533,330012233906,176,2023-01-10,12300109,1.5
522,330012233431,1843,2023-01-10,12300204,154.0
511,330012233911,193,2023-01-10,12300272,75.0
522,330012233959,382,2023-01-10,12300204,154.0
533,330012233605,2604,2023-01-10,12300109,1.5
533,330012233837,337,2023-01-10,12300109,1.5
533,330012233420,517,2023-01-10,12300109,1.5
555,330012233845,1541,2023-01-11,1230061,12.666666666666666
555,330012233797,1727,2023-01-11,1230061,12.666666666666666
555,330012233464,974,2023-01-11,1230061,12.666666666666666
555,330012233616,431,2023-01-11,1230061,12.666666666666666
555,330012233457,863,2023-01-11,1230061,12.666666666666666
555,330012233759,1842,2023-01-11,1230061,12.666666666666666
555,330012233895,407,2023-01-11,1230061,12.666666666666666
555,330012233530,1289,2023-01-11,1230061,12.666666666666666
555,330012233649,227,2023-01-11,1230061,12.666666666666666
555,330012233697,82,2023-01-11,1230061,12.666666666666666
555,330012233744,427,2023-01-11,1230061,12.666666666666666
555,330012233746,711,2023-01-11,1230061,12.666666666666666
544,330012233714,882,2023-01-14,12300208,4.0
544,330012233612,174,2023-01-14,12300208,4.0
533,330012233507,280,2023-01-14,12300120,79.0
