Артикул продукции,Продукция,Артикул материала,Материал,Цех_511,Цех_522,Цех_533,Цех_544,Цех_555
71,2324,105,24.8,False,False,True,False,False
71,2324,34,24.0,False,False,True,False,False
18,461,191,100.0,False,True,False,False,False
10,406,191,78.4,False,False,False,True,False
76,147,191,78.4,False,False,False,True,False
10,751,108,19.0,False,False,True,False,False
10,751,105,24.8,False,False,True,False,False
10,751,34,24.0,False,False,True,False,False
6,224,191,78.4,False,False,False,True,False
71,2324,108,19.0,False,False,True,False,False
10,218,191,78.4,False,False,False,True,False
6,2016,54,27.5,False,True,False,False,False
10,227,93,77.33333333333333,False,True,False,False,False
10,227,54,27.5,False,True,False,False,False
2,1019,93,77.33333333333333,False,True,False,False,False
157,562,127,132.0,True,False,False,False,False
2,260,127,132.0,True,False,False,False,False
0,117,93,77.33333333333333,False,True,False,False,False
0,117,54,27.5,False,True,False,False,False
6,2016,93,77.33333333333333,False,True,False,False,False
2,1019,54,27.5,False,True,False,False,False
6,1276,54,27.5,False,True,False,False,False
23,115,93,77.33333333333333,False,True,False,False,False
6,1351,127,132.0,True,False,False,False,False
0,296,127,132.0,True,False,False,False,False
13,607,127,132.0,True,False,False,False,False
16,2721,127,132.0,True,False,False,False,False
22,830,127,132.0,True,False,False,False,False
1,349,127,132.0,True,False,False,False,False
17,315,127,132.0,True,False,False,False,False
23,115,54,27.5,False,True,False,False,False
16,139,54,27.5,False,True,False,False,False
16,139,93,77.33333333333333,False,True,False,False,False
6,1276,93,77.33333333333333,False,True,False,False,False
590,453,102,320.0,False,False,False,True,False
160,95,102,320.0,False,False,False,True,False
281,801,102,320.0,False,False,False,True,False
318,904,102,320.0,False,False,False,True,False
303,2423,102,320.0,False,False,False,True,False
323,197,102,320.0,False,False,False,True,False
431,578,102,320.0,False,False,False,True,False
131,509,102,320.0,False,False,False,True,False
222,624,102,320.0,False,False,False,True,False
402,1986,102,320.0,False,False,False,True,False
269,130,255,38.4,False,False,False,False,True
168,251,255,38.4,False,False,False,False,True
115,452,255,38.4,False,False,False,False,True
545,58,255,38.4,False,False,False,False,True
415,1154,255,38.4,False,False,False,False,True
522,342,255,38.4,False,False,False,False,True
7,1454,255,38.4,False,False,False,False,True
199,2116,255,38.4,False,False,False,False,True
320,1259,255,38.4,False,False,False,False,True
309,505,11,35.6,False,True,False,False,False
377,998,11,35.6,False,True,False,False,False
467,511,11,35.6,False,True,False,False,False
188,651,130,13.2,False,False,False,True,False
223,1358,11,35.6,False,True,False,False,False
463,1383,11,35.6,False,True,False,False,False
72,444,11,35.6,False,True,False,False,False
295,2457,11,35.6,False,True,False,False,False
236,165,11,35.6,False,True,False,False,False
166,1954,130,13.2,False,False,False,True,False
269,286,11,35.6,False,True,False,False,False
431,939,130,13.2,False,False,False,True,False
302,189,11,35.6,False,True,False,False,False
123,351,130,13.2,False,False,False,True,False
202,882,11,35.6,False,True,False,False,False
389,1215,130,13.2,False,False,False,True,False
324,1979,11,35.6,False,True,False,False,False
443,1037,11,35.6,False,True,False,False,False
560,1456,11,35.6,False,True,False,False,False
368,1961,130,13.2,False,False,False,True,False
540,613,11,35.6,False,True,False,False,False
495,739,225,17.333333333333332,False,False,False,True,False
248,454,225,17.333333333333332,False,False,False,True,False
331,998,225,17.333333333333332,False,False,False,True,False
338,1571,225,17.333333333333332,False,False,False,True,False
385,1957,225,17.333333333333332,False,False,False,True,False
324,404,225,17.333333333333332,False,False,False,True,False
3,1905,225,17.333333333333332,False,False,False,True,False
154,1545,225,17.333333333333332,False,False,False,True,False
358,217,225,17.333333333333332,False,False,False,True,False
440,1385,225,17.333333333333332,False,False,False,True,False
349,205,225,17.333333333333332,False,False,False,True,False
2,1044,225,17.333333333333332,False,False,False,True,False
8,1227,61,48.0,True,False,False,False,False
157,346,61,48.0,True,False,False,False,False
184,673,61,48.0,True,False,False,False,False
273,125,61,48.0,True,False,False,False,False
10,330,61,48.0,True,False,False,False,False
363,1762,61,48.0,True,False,False,False,False
43,2354,234,14.666666666666666,False,True,False,False,False
138,320,283,97.5,False,False,False,False,True
274,1050,283,97.5,False,False,False,False,True
119,650,234,14.666666666666666,False,True,False,False,False
406,286,283,97.5,False,False,False,False,True
275,1630,283,97.5,False,False,False,False,True
235,1656,283,97.5,False,False,False,False,True
188,264,234,14.666666666666666,False,True,False,False,False
90,264,283,97.5,False,False,False,False,True
140,590,234,14.666666666666666,False,True,False,False,False
264,230,234,14.666666666666666,False,True,False,False,False
299,1391,283,97.5,False,False,False,False,True
269,545,234,14.666666666666666,False,True,False,False,False
192,458,234,14.666666666666666,False,True,False,False,False
63,1350,234,14.666666666666666,False,True,False,False,False
122,1135,234,14.666666666666666,False,True,False,False,False
217,525,234,14.666666666666666,False,True,False,False,False
406,1449,283,97.5,False,False,False,False,True
286,897,234,14.666666666666666,False,True,False,False,False
239,424,283,97.5,False,False,False,False,True
163,157,22,98.0,False,True,False,False,False
239,681,22,98.0,False,True,False,False,False
161,778,22,98.0,False,True,False,False,False
297,749,22,98.0,False,True,False,False,False
47,1380,22,98.0,False,True,False,False,False
34,364,22,98.0,False,True,False,False,False
4,1239,152,30.0,False,False,False,False,True
112,834,152,30.0,False,False,False,False,True
93,348,152,30.0,False,False,False,False,True
137,1226,152,30.0,False,False,False,False,True
0,1115,152,30.0,False,False,False,False,True
70,1093,152,30.0,False,False,False,False,True
144,143,152,30.0,False,False,False,False,True
168,562,152,30.0,False,False,False,False,True
163,1495,152,30.0,False,False,False,False,True
92,252,152,30.0,False,False,False,False,True
164,978,152,30.0,False,False,False,False,True
125,2316,268,23.6,False,False,False,True,False
6,1220,268,23.6,False,False,False,True,False
6,1220,107,237.0,False,False,False,True,False
77,600,268,23.6,False,False,False,True,False
77,600,107,237.0,False,False,False,True,False
125,2316,107,237.0,False,False,False,True,False
14,2215,107,237.0,False,False,False,True,False
97,184,107,237.0,False,False,False,True,False
112,201,268,23.6,False,False,False,True,False
112,201,107,237.0,False,False,False,True,False
27,715,268,23.6,False,False,False,True,False
27,715,107,237.0,False,False,False,True,False
97,184,268,23.6,False,False,False,True,False
14,2215,268,23.6,False,False,False,True,False
76,439,107,237.0,False,False,False,True,False
46,279,268,23.6,False,False,False,True,False
28,1265,107,237.0,False,False,False,True,False
142,1622,268,23.6,False,False,False,True,False
142,1622,107,237.0,False,False,False,True,False
24,627,268,23.6,False,False,False,True,False
24,627,107,237.0,False,False,False,True,False
29,792,268,23.6,False,False,False,True,False
46,279,107,237.0,False,False,False,True,False
76,439,268,23.6,False,False,False,True,False
28,1265,268,23.6,False,False,False,True,False
49,901,268,23.6,False,False,False,True,False
49,901,107,237.0,False,False,False,True,False
14,1330,268,23.6,False,False,False,True,False
14,1330,107,237.0,False,False,False,True,False
29,792,107,237.0,False,False,False,True,False
28,735,266,6.666666666666667,False,False,True,False,False
29,510,266,6.666666666666667,False,False,True,False,False
6,353,266,6.666666666666667,False,False,True,False,False
9,1372,266,6.666666666666667,False,False,True,False,False
38,1476,266,6.666666666666667,False,False,True,False,False
38,1250,266,6.666666666666667,False,False,True,False,False
13,631,266,6.666666666666667,False,False,True,False,False
5,1030,266,6.666666666666667,False,False,True,False,False
11,694,266,6.666666666666667,False,False,True,False,False
36,361,266,6.666666666666667,False,False,True,False,False
22,398,266,6.666666666666667,False,False,True,False,False
33,561,266,6.666666666666667,False,False,True,False,False
37,273,266,6.666666666666667,False,False,True,False,False
13,223,266,6.666666666666667,False,False,True,False,False
25,309,266,6.666666666666667,False,False,True,False,False
43,949,266,6.666666666666667,False,False,True,False,False
41,293,266,6.666666666666667,False,False,True,False,False
15,2110,266,6.666666666666667,False,False,True,False,False
537,1064,71,36.0,False,True,False,False,False
568,1752,258,366.0,False,True,False,False,False
568,1752,206,25.666666666666668,False,True,False,False,False
568,1752,71,36.0,False,True,False,False,False
201,842,258,366.0,False,True,False,False,False
201,842,206,25.666666666666668,False,True,False,False,False
123,751,123,44.0,False,False,True,False,False
123,751,156,492.0,False,False,True,False,False
123,751,59,30.0,False,False,True,False,False
464,792,156,492.0,False,False,True,False,False
464,792,59,30.0,False,False,True,False,False
464,792,123,44.0,False,False,True,False,False
537,1064,206,25.666666666666668,False,True,False,False,False
201,842,71,36.0,False,True,False,False,False
537,1064,258,366.0,False,True,False,False,False
423,1603,138,16.333333333333332,False,False,False,True,False
636,140,59,30.0,False,False,True,False,False
292,614,138,16.333333333333332,False,False,False,True,False
464,1672,156,492.0,False,False,True,False,False
464,1672,59,30.0,False,False,True,False,False
464,1672,123,44.0,False,False,True,False,False
166,163,258,366.0,False,True,False,False,False
166,163,206,25.666666666666668,False,True,False,False,False
636,140,123,44.0,False,False,True,False,False
166,163,71,36.0,False,True,False,False,False
357,1526,206,25.666666666666668,False,True,False,False,False
357,1526,71,36.0,False,True,False,False,False
117,248,258,366.0,False,True,False,False,False
117,248,206,25.666666666666668,False,True,False,False,False
117,248,71,36.0,False,True,False,False,False
636,140,156,492.0,False,False,True,False,False
357,1526,258,366.0,False,True,False,False,False
500,409,156,492.0,False,False,True,False,False
47,2308,59,30.0,False,False,True,False,False
500,409,123,44.0,False,False,True,False,False
353,346,258,366.0,False,True,False,False,False
500,409,59,30.0,False,False,True,False,False
353,346,71,36.0,False,True,False,False,False
145,1020,156,492.0,False,False,True,False,False
145,1020,59,30.0,False,False,True,False,False
145,1020,123,44.0,False,False,True,False,False
385,268,71,36.0,False,True,False,False,False
407,307,138,16.333333333333332,False,False,False,True,False
43,1334,258,366.0,False,True,False,False,False
43,1334,206,25.666666666666668,False,True,False,False,False
43,1334,71,36.0,False,True,False,False,False
126,1598,258,366.0,False,True,False,False,False
126,1598,206,25.666666666666668,False,True,False,False,False
126,1598,71,36.0,False,True,False,False,False
6,2244,138,16.333333333333332,False,False,False,True,False
385,268,206,25.666666666666668,False,True,False,False,False
353,346,206,25.666666666666668,False,True,False,False,False
644,1106,71,36.0,False,True,False,False,False
98,1040,156,492.0,False,False,True,False,False
98,1040,59,30.0,False,False,True,False,False
98,1040,123,44.0,False,False,True,False,False
385,268,258,366.0,False,True,False,False,False
94,1024,59,30.0,False,False,True,False,False
94,1024,123,44.0,False,False,True,False,False
576,860,156,492.0,False,False,True,False,False
94,1024,156,492.0,False,False,True,False,False
576,860,123,44.0,False,False,True,False,False
47,2308,156,492.0,False,False,True,False,False
47,2308,123,44.0,False,False,True,False,False
644,1106,258,366.0,False,True,False,False,False
644,1106,206,25.666666666666668,False,True,False,False,False
576,860,59,30.0,False,False,True,False,False
376,221,8,26.0,True,False,False,False,False
233,775,46,27.0,False,False,True,False,False
278,234,46,27.0,False,False,True,False,False
153,571,8,26.0,True,False,False,False,False
368,205,46,27.0,False,False,True,False,False
95,403,8,26.0,True,False,False,False,False
191,985,8,26.0,True,False,False,False,False
331,502,46,27.0,False,False,True,False,False
545,539,8,26.0,True,False,False,False,False
21,437,8,26.0,True,False,False,False,False
39,1230,8,26.0,True,False,False,False,False
295,2429,8,26.0,True,False,False,False,False
224,128,8,26.0,True,False,False,False,False
38,1314,46,27.0,False,False,True,False,False
204,1071,46,27.0,False,False,True,False,False
387,751,8,26.0,True,False,False,False,False
139,581,8,26.0,True,False,False,False,False
164,252,169,59.0,False,False,False,True,False
212,500,61,142.0,False,False,False,True,False
212,500,169,59.0,False,False,False,True,False
391,446,61,142.0,False,False,False,True,False
391,446,169,59.0,False,False,False,True,False
104,118,61,142.0,False,False,False,True,False
216,387,169,59.0,False,False,False,True,False
66,1262,169,59.0,False,False,False,True,False
164,252,61,142.0,False,False,False,True,False
104,118,169,59.0,False,False,False,True,False
216,387,61,142.0,False,False,False,True,False
410,199,169,59.0,False,False,False,True,False
66,1262,61,142.0,False,False,False,True,False
86,1011,169,59.0,False,False,False,True,False
86,1011,61,142.0,False,False,False,True,False
119,1052,169,59.0,False,False,False,True,False
119,1052,61,142.0,False,False,False,True,False
394,59,169,59.0,False,False,False,True,False
394,59,61,142.0,False,False,False,True,False
396,1240,169,59.0,False,False,False,True,False
396,1240,61,142.0,False,False,False,True,False
248,2353,61,142.0,False,False,False,True,False
441,1738,169,59.0,False,False,False,True,False
