Цех,id документа_prod,Артикул продукции,Продукция,id документа_cons,Артикул материала,Материал,month,month_sin,month_cos,year,day,day_sin,day_cos
511,9912965735,330012233577,1612,1234572899.0,12300157.0,64.0,1,0.49999999999999994,0.8660254037844387,2023,3,0.5877852522924731,0.8090169943749475
511,9912965902,330012233510,269,1234572899.0,12300157.0,64.0,1,0.49999999999999994,0.8660254037844387,2023,3,0.5877852522924731,0.8090169943749475
511,9912966462,330012233565,674,1234572899.0,12300157.0,64.0,1,0.49999999999999994,0.8660254037844387,2023,3,0.5877852522924731,0.8090169943749475
511,9912966871,330012233552,2554,1234572899.0,12300157.0,64.0,1,0.49999999999999994,0.8660254037844387,2023,3,0.5877852522924731,0.8090169943749475
511,9912971679,330012233421,642,1234572899.0,12300157.0,64.0,1,0.49999999999999994,0.8660254037844387,2023,3,0.5877852522924731,0.8090169943749475
511,9912972066,330012233414,558,1234572899.0,12300157.0,64.0,1,0.49999999999999994,0.8660254037844387,2023,3,0.5877852522924731,0.8090169943749475
511,9912973215,330012233604,116,1234572899.0,12300157.0,64.0,1,0.49999999999999994,0.8660254037844387,2023,3,0.5877852522924731,0.8090169943749475
511,9912974374,330012233578,189,1234572899.0,12300157.0,64.0,1,0.49999999999999994,0.8660254037844387,2023,3,0.5877852522924731,0.8090169943749475
511,9912939245,330012233430,2411,1234573106.0,12300214.0,30.0,1,0.49999999999999994,0.8660254037844387,2023,5,0.8660254037844386,0.5000000000000001
511,9912940811,330012233484,1326,1234573106.0,12300214.0,30.0,1,0.49999999999999994,0.8660254037844387,2023,5,0.8660254037844386,0.5000000000000001
511,9912944109,330012233493,407,1234573106.0,12300214.0,30.0,1,0.49999999999999994,0.8660254037844387,2023,5,0.8660254037844386,0.5000000000000001
511,9912944529,330012233457,687,1234573106.0,12300214.0,30.0,1,0.49999999999999994,0.8660254037844387,2023,5,0.8660254037844386,0.5000000000000001
511,9912947330,330012233423,1026,1234573106.0,12300214.0,30.0,1,0.49999999999999994,0.8660254037844387,2023,5,0.8660254037844386,0.5000000000000001
511,9912947737,330012233535,689,1234573106.0,12300214.0,30.0,1,0.49999999999999994,0.8660254037844387,2023,5,0.8660254037844386,0.5000000000000001
511,9912948581,330012233423,1056,1234573106.0,12300214.0,30.0,1,0.49999999999999994,0.8660254037844387,2023,5,0.8660254037844386,0.5000000000000001
511,9912951648,330012233501,550,1234573106.0,12300214.0,30.0,1,0.49999999999999994,0.8660254037844387,2023,5,0.8660254037844386,0.5000000000000001
511,9912952345,330012233550,225,1234573106.0,12300214.0,30.0,1,0.49999999999999994,0.8660254037844387,2023,5,0.8660254037844386,0.5000000000000001
511,9912952571,330012233476,2602,1234573106.0,12300214.0,30.0,1,0.49999999999999994,0.8660254037844387,2023,5,0.8660254037844386,0.5000000000000001
511,9912882745,330012233735,1963,1234573728.0,12300272.0,75.0,1,0.49999999999999994,0.8660254037844387,2023,10,0.8660254037844387,-0.4999999999999998
511,9912885025,330012233948,162,1234573728.0,12300272.0,75.0,1,0.49999999999999994,0.8660254037844387,2023,10,0.8660254037844387,-0.4999999999999998
511,9912885344,330012233766,1610,1234573728.0,12300272.0,75.0,1,0.49999999999999994,0.8660254037844387,2023,10,0.8660254037844387,-0.4999999999999998
511,9912886725,330012233437,573,1234573728.0,12300272.0,75.0,1,0.49999999999999994,0.8660254037844387,2023,10,0.8660254037844387,-0.4999999999999998
511,9912889980,330012233911,193,1234573728.0,12300272.0,75.0,1,0.49999999999999994,0.8660254037844387,2023,10,0.8660254037844387,-0.4999999999999998
511,9912839877,330012233416,1679,1234573976.0,12300209.0,29.2,1,0.49999999999999994,0.8660254037844387,2023,14,0.20791169081775931,-0.9781476007338057
511,9912841908,330012233550,889,1234573976.0,12300209.0,29.2,1,0.49999999999999994,0.8660254037844387,2023,14,0.20791169081775931,-0.9781476007338057
511,9912843439,330012233509,444,1234573976.0,12300209.0,29.2,1,0.49999999999999994,0.8660254037844387,2023,14,0.20791169081775931,-0.9781476007338057
511,9912844087,330012233642,208,1234573976.0,12300209.0,29.2,1,0.49999999999999994,0.8660254037844387,2023,14,0.20791169081775931,-0.9781476007338057
