Model,RMSE,MAE,R2
XGBoost,39.820105413610946,25.40433993634355,0.8264399758536202
LightGBM,42.9538760347011,27.473181091659097,0.7980473250440215
CatBoost,38.1526683279483,23.210019906922934,0.8406710385285137
