Дата,Цех,Наименование материала,Объём,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19,pca_20,pca_21,pca_22,pca_23,pca_24,pca_25,pca_26,pca_27,pca_28,pca_29,total_prod,target
2023-01,511,Масло 155,48.0,1151.4670961221937,-2651.9069030241717,29.268253754352514,3272.0944844971873,1928.7828264089158,-1387.2115233824984,-1833.0432560875504,-271.42834231524654,1504.1879303159285,-208.8609017412007,913.4550512698071,1226.673273593506,-2749.73951452521,2793.068327584984,450.5654680538684,68.18083416123753,71.07434976210178,-1802.2751208535417,142.18875502453741,340.98238131708666,1662.8340836702143,-4145.4273484381565,-3951.3939314586696,-261.264848023079,595.6062037107437,1444.2033025912585,770.1250550359935,3770.8009295613224,140.719507593552,-1184.8202515551914,215218,3.8918202981106265
2023-01,511,Масло 157,64.0,1151.4670961221937,-2651.9069030241717,29.268253754352514,3272.0944844971873,1928.7828264089158,-1387.2115233824984,-1833.0432560875504,-271.42834231524654,1504.1879303159285,-208.8609017412007,913.4550512698071,1226.673273593506,-2749.73951452521,2793.068327584984,450.5654680538684,68.18083416123753,71.07434976210178,-1802.2751208535417,142.18875502453741,340.98238131708666,1662.8340836702143,-4145.4273484381565,-3951.3939314586696,-261.264848023079,595.6062037107437,1444.2033025912585,770.1250550359935,3770.8009295613224,140.719507593552,-1184.8202515551914,215218,4.174387269895637
2023-01,511,Масло 209,29.2,1151.4670961221937,-2651.9069030241717,29.268253754352514,3272.0944844971873,1928.7828264089158,-1387.2115233824984,-1833.0432560875504,-271.42834231524654,1504.1879303159285,-208.8609017412007,913.4550512698071,1226.673273593506,-2749.73951452521,2793.068327584984,450.5654680538684,68.18083416123753,71.07434976210178,-1802.2751208535417,142.18875502453741,340.98238131708666,1662.8340836702143,-4145.4273484381565,-3951.3939314586696,-261.264848023079,595.6062037107437,1444.2033025912585,770.1250550359935,3770.8009295613224,140.719507593552,-1184.8202515551914,215218,3.407841924380824
2023-01,511,Масло 214,162.0,1151.4670961221937,-2651.9069030241717,29.268253754352514,3272.0944844971873,1928.7828264089158,-1387.2115233824984,-1833.0432560875504,-271.42834231524654,1504.1879303159285,-208.8609017412007,913.4550512698071,1226.673273593506,-2749.73951452521,2793.068327584984,450.5654680538684,68.18083416123753,71.07434976210178,-1802.2751208535417,142.18875502453741,340.98238131708666,1662.8340836702143,-4145.4273484381565,-3951.3939314586696,-261.264848023079,595.6062037107437,1444.2033025912585,770.1250550359935,3770.8009295613224,140.719507593552,-1184.8202515551914,215218,5.093750200806762
2023-01,511,Масло 272,75.0,1151.4670961221937,-2651.9069030241717,29.268253754352514,3272.0944844971873,1928.7828264089158,-1387.2115233824984,-1833.0432560875504,-271.42834231524654,1504.1879303159285,-208.8609017412007,913.4550512698071,1226.673273593506,-2749.73951452521,2793.068327584984,450.5654680538684,68.18083416123753,71.07434976210178,-1802.2751208535417,142.18875502453741,340.98238131708666,1662.8340836702143,-4145.4273484381565,-3951.3939314586696,-261.264848023079,595.6062037107437,1444.2033025912585,770.1250550359935,3770.8009295613224,140.719507593552,-1184.8202515551914,215218,4.330733340286331
2023-01,522,Масло 102,115.0,101.80073612091762,-501.43351275640043,545.9788188322949,-2749.7732707835025,-1071.5039041914115,-498.65425783174913,-1976.486175877141,4342.410880658425,897.1256729735221,240.01477322281977,234.10151663155628,-2183.298690789098,-353.91677717380657,-492.1761520256918,2918.524409679293,-754.4369663170047,60.620610270675186,-1041.9205495668218,-449.2583445248162,-1106.5507575714819,2869.019694321471,538.985480570959,1306.8877554494547,-567.4612506759852,-2037.3052482931523,-1011.403451671971,70.65776327521948,1464.3745902090923,1152.2421580076548,608.1105131296517,225160,4.7535901911063645
2023-01,522,Масло 109,35.6,101.80073612091762,-501.43351275640043,545.9788188322949,-2749.7732707835025,-1071.5039041914115,-498.65425783174913,-1976.486175877141,4342.410880658425,897.1256729735221,240.01477322281977,234.10151663155628,-2183.298690789098,-353.91677717380657,-492.1761520256918,2918.524409679293,-754.4369663170047,60.620610270675186,-1041.9205495668218,-449.2583445248162,-1106.5507575714819,2869.019694321471,538.985480570959,1306.8877554494547,-567.4612506759852,-2037.3052482931523,-1011.403451671971,70.65776327521948,1464.3745902090923,1152.2421580076548,608.1105131296517,225160,3.6000482404073204
2023-01,522,Масло 119,98.0,101.80073612091762,-501.43351275640043,545.9788188322949,-2749.7732707835025,-1071.5039041914115,-498.65425783174913,-1976.486175877141,4342.410880658425,897.1256729735221,240.01477322281977,234.10151663155628,-2183.298690789098,-353.91677717380657,-492.1761520256918,2918.524409679293,-754.4369663170047,60.620610270675186,-1041.9205495668218,-449.2583445248162,-1106.5507575714819,2869.019694321471,538.985480570959,1306.8877554494547,-567.4612506759852,-2037.3052482931523,-1011.403451671971,70.65776327521948,1464.3745902090923,1152.2421580076548,608.1105131296517,225160,4.59511985013459
2023-01,522,Масло 149,27.5,101.80073612091762,-501.43351275640043,545.9788188322949,-2749.7732707835025,-1071.5039041914115,-498.65425783174913,-1976.486175877141,4342.410880658425,897.1256729735221,240.01477322281977,234.10151663155628,-2183.298690789098,-353.91677717380657,-492.1761520256918,2918.524409679293,-754.4369663170047,60.620610270675186,-1041.9205495668218,-449.2583445248162,-1106.5507575714819,2869.019694321471,538.985480570959,1306.8877554494547,-567.4612506759852,-2037.3052482931523,-1011.403451671971,70.65776327521948,1464.3745902090923,1152.2421580076548,608.1105131296517,225160,3.349904087274605
2023-01,522,Масло 150,19.5,101.80073612091762,-501.43351275640043,545.9788188322949,-2749.7732707835025,-1071.5039041914115,-498.65425783174913,-1976.486175877141,4342.410880658425,897.1256729735221,240.01477322281977,234.10151663155628,-2183.298690789098,-353.91677717380657,-492.1761520256918,2918.524409679293,-754.4369663170047,60.620610270675186,-1041.9205495668218,-449.2583445248162,-1106.5507575714819,2869.019694321471,538.985480570959,1306.8877554494547,-567.4612506759852,-2037.3052482931523,-1011.403451671971,70.65776327521948,1464.3745902090923,1152.2421580076548,608.1105131296517,225160,3.0204248861443626
2023-01,522,Масло 184,77.33333333333333,101.80073612091762,-501.43351275640043,545.9788188322949,-2749.7732707835025,-1071.5039041914115,-498.65425783174913,-1976.486175877141,4342.410880658425,897.1256729735221,240.01477322281977,234.10151663155628,-2183.298690789098,-353.91677717380657,-492.1761520256918,2918.524409679293,-754.4369663170047,60.620610270675186,-1041.9205495668218,-449.2583445248162,-1106.5507575714819,2869.019694321471,538.985480570959,1306.8877554494547,-567.4612506759852,-2037.3052482931523,-1011.403451671971,70.65776327521948,1464.3745902090923,1152.2421580076548,608.1105131296517,225160,4.360973225476049
2023-01,522,Масло 186,5.0,101.80073612091762,-501.43351275640043,545.9788188322949,-2749.7732707835025,-1071.5039041914115,-498.65425783174913,-1976.486175877141,4342.410880658425,897.1256729735221,240.01477322281977,234.10151663155628,-2183.298690789098,-353.91677717380657,-492.1761520256918,2918.524409679293,-754.4369663170047,60.620610270675186,-1041.9205495668218,-449.2583445248162,-1106.5507575714819,2869.019694321471,538.985480570959,1306.8877554494547,-567.4612506759852,-2037.3052482931523,-1011.403451671971,70.65776327521948,1464.3745902090923,1152.2421580076548,608.1105131296517,225160,1.791759469228055
2023-01,522,Масло 204,154.0,101.80073612091762,-501.43351275640043,545.9788188322949,-2749.7732707835025,-1071.5039041914115,-498.65425783174913,-1976.486175877141,4342.410880658425,897.1256729735221,240.01477322281977,234.10151663155628,-2183.298690789098,-353.91677717380657,-492.1761520256918,2918.524409679293,-754.4369663170047,60.620610270675186,-1041.9205495668218,-449.2583445248162,-1106.5507575714819,2869.019694321471,538.985480570959,1306.8877554494547,-567.4612506759852,-2037.3052482931523,-1011.403451671971,70.65776327521948,1464.3745902090923,1152.2421580076548,608.1105131296517,225160,5.043425116919247
2023-01,522,Масло 248,2.5,101.80073612091762,-501.43351275640043,545.9788188322949,-2749.7732707835025,-1071.5039041914115,-498.65425783174913,-1976.486175877141,4342.410880658425,897.1256729735221,240.01477322281977,234.10151663155628,-2183.298690789098,-353.91677717380657,-492.1761520256918,2918.524409679293,-754.4369663170047,60.620610270675186,-1041.9205495668218,-449.2583445248162,-1106.5507575714819,2869.019694321471,538.985480570959,1306.8877554494547,-567.4612506759852,-2037.3052482931523,-1011.403451671971,70.65776327521948,1464.3745902090923,1152.2421580076548,608.1105131296517,225160,1.252762968495368
2023-01,522,Масло 272,100.0,101.80073612091762,-501.43351275640043,545.9788188322949,-2749.7732707835025,-1071.5039041914115,-498.65425783174913,-1976.486175877141,4342.410880658425,897.1256729735221,240.01477322281977,234.10151663155628,-2183.298690789098,-353.91677717380657,-492.1761520256918,2918.524409679293,-754.4369663170047,60.620610270675186,-1041.9205495668218,-449.2583445248162,-1106.5507575714819,2869.019694321471,538.985480570959,1306.8877554494547,-567.4612506759852,-2037.3052482931523,-1011.403451671971,70.65776327521948,1464.3745902090923,1152.2421580076548,608.1105131296517,225160,4.61512051684126
2023-01,522,Масло 41,14.666666666666666,101.80073612091762,-501.43351275640043,545.9788188322949,-2749.7732707835025,-1071.5039041914115,-498.65425783174913,-1976.486175877141,4342.410880658425,897.1256729735221,240.01477322281977,234.10151663155628,-2183.298690789098,-353.91677717380657,-492.1761520256918,2918.524409679293,-754.4369663170047,60.620610270675186,-1041.9205495668218,-449.2583445248162,-1106.5507575714819,2869.019694321471,538.985480570959,1306.8877554494547,-567.4612506759852,-2037.3052482931523,-1011.403451671971,70.65776327521948,1464.3745902090923,1152.2421580076548,608.1105131296517,225160,2.751535313041949
2023-01,533,Масло 109,1.5,1391.1687169328977,-1709.5070508020467,5834.171933236512,3824.311080958255,575.5015578460948,-3282.692929993447,2123.0676002665296,1442.5505113210038,-1452.9176783560326,2235.6014071917916,1801.9316622834447,2202.634270071017,-112.54636586161752,2342.4246226863634,-3083.332854327095,308.68142608887797,-3370.874905508283,-1770.8978545620596,3736.4014924287567,2012.6399325648013,-447.3435712224718,-510.53082701047487,-445.4140368133204,1202.4530604386528,26.390887032837608,4715.246899217099,-114.6504161937179,1410.765153815431,5173.369762255125,842.1866957213819,262244,0.9162907318741551
